index,name,name_clean,category,category_clean,rating,rating_clean,total_reviews,address,kecamatan,wilayah,phone,phone_clean,has_phone,website,website_clean,has_website,hours,coordinates,latitude,longitude,scraped_at
11,Oksigen Coffee Cirebon,Oksigen Coffee Cirebon,,Cafe/Kedai Kopi,"4,7",4.7,,"Jl. Talang No.4, Lemahwungkuk, Kec. Lemahwungkuk, Kota Cirebon, Jawa Barat 45111",Lemahwungkuk,Kota Cirebon,0822-1885-0853,0822-1885-0853,True,https://instagram.com/niricafe.id?igshid=YmMyMTA2M2Y=,https://instagram.com/niricafe.id?igshid=YmMyMTA2M2Y=,True,,"-6.715901,108.4798924",-6.715901,108.4798924,2026-01-31 13:36:51
12,Kopi Manao,Kopi Manao,Kafe,Kafe,"4,7",4.7,,"Jl. Tuparev No.64, Kedungjaya, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0811-2233-0575,0811-2233-0575,True,,,False,,"-6.715901,108.4798924",-6.715901,108.4798924,2026-01-31 13:36:56
13,71 Cafe & Resto,71 Cafe & Resto,Restoran,Restoran,"4,7",4.7,,"Jl. Fatahillah, Watubelah, Kec. Sumber, Kabupaten Cirebon, Jawa Barat",Sumber,Kabupaten Cirebon,0821-1956-9001,0821-1956-9001,True,,,False,,"-6.7429217,108.4162685",-6.7429217,108.4162685,2026-01-31 13:37:00
14,Markas Cafe,Markas Cafe,Kafe,Kafe,"4,3",4.3,,"Jl. DR. Cipto Mangunkusumo No.105, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",Kesambi,Kota Cirebon,0818-728-111,0818-728-111,True,https://r.grab.com/g/6-20250423_151229_D443C713293444E3B80E1E53F555D6D5_MEXMPS-IDGFSTI000018qf,https://r.grab.com/g/6-20250423_151229_D443C713293444E3B80E1E53F555D6D5_MEXMPS-IDGFSTI000018qf,True,,"-6.7429217,108.4162685",-6.7429217,108.4162685,2026-01-31 13:37:05
15,Kopi Buri Umah,Kopi Buri Umah,Kedai Kopi,Kedai Kopi,"4,7",4.7,,"Jl kavling telar asem Blok Dukumalang, Tukmudal, Kec. Sumber, Kabupaten Cirebon, Jawa Barat 45611",Sumber,Kabupaten Cirebon,0898-9844-470,0898-9844-470,True,https://linktr.ee/buriumah,https://linktr.ee/buriumah,True,,"-6.7429217,108.4162685",-6.7429217,108.4162685,2026-01-31 13:37:09
16,Olive Bistro (Cafe & Resto),Olive Bistro (Cafe & Resto),Kafe,Kafe,"4,5",4.5,,"Jl. Siliwangi No.80, Kebonbaru, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45121",Kejaksan,Kota Cirebon,(0231) 8300622,(0231) 8300622,True,https://www.instagram.com/OliveCafeResto,https://www.instagram.com/OliveCafeResto,True,,"-6.7429217,108.4162685",-6.7429217,108.4162685,2026-01-31 13:37:13
17,Saisons Space,Saisons Space,Kedai Kopi,Kedai Kopi,"4,8",4.8,,"Jl. Sultan Ageng Tirtayasa, Kedungdawa, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,,,False,http://www.instagram.com/saisons.space,http://www.instagram.com/saisons.space,True,,"-6.7429217,108.4162685",-6.7429217,108.4162685,2026-01-31 13:37:17
18,"My Story Cafe, Bistro & Social House","My Story Cafe, Bistro & Social House",Kafe,Kafe,"4,5",4.5,,"Jl. Pulasaren No.46, Pulasaren, Kec. Pekalipan, Kota Cirebon, Jawa Barat 45116",Pekalipan,Kota Cirebon,(0231) 8300775,(0231) 8300775,True,,,False,,"-6.7240546,108.4912629",-6.7240546,108.4912629,2026-01-31 13:37:22
19,Little Black Coffee and Tea,Little Black Coffee and Tea,Kedai Kopi,Kedai Kopi,"4,6",4.6,,"Jl. Pembangunan Raya No.2a, Pekiringan, Kec. Kesambi, Kabupaten Cirebon, Jawa Barat 45153",Kesambi,Kabupaten Cirebon,0817-9441-777,0817-9441-777,True,,,False,,"-6.7240546,108.4912629",-6.7240546,108.4912629,2026-01-31 13:37:26
20,Ini Kopi Ulon Signature - Tuparev,Ini Kopi Ulon Signature - Tuparev,Kedai Kopi,Kedai Kopi,"4,8",4.8,,"Jl. Tuparev No.20, Sutawinangun, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0822-6836-7017,0822-6836-7017,True,https://inikopiulon.com/,https://inikopiulon.com/,True,,"-6.7240546,108.4912629",-6.7240546,108.4912629,2026-01-31 13:37:30
21,Safti Coffee & Space,Safti Coffee & Space,Kedai Kopi,Kedai Kopi,"4,6",4.6,,"Soho Patra Park, Jl. Tuparev No.11, Kedawung, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,,,False,,,False,,"-6.7240546,108.4912629",-6.7240546,108.4912629,2026-01-31 13:37:34
24,Komunikoffie,Komunikoffie,Kedai Kopi,Kedai Kopi,"4,6",4.6,,"Jl. Taman Pemuda No.24/88, Sunyaragi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45132",Kesambi,Kota Cirebon,0811-2409-891,0811-2409-891,True,,,False,,"-6.7240546,108.4912629",-6.7240546,108.4912629,2026-01-31 13:37:47
25,The Original Superdog Cirebon,The Original Superdog Cirebon,Kafe,Kafe,"4,7",4.7,,"Jl. Flamboyan No.28, Kedungjaya, Kec. Kedawung, Kota Cirebon, Jawa Barat 45153",Kedawung,Kota Cirebon,0811-2421-748,0811-2421-748,True,https://superdog.yokke.biz/,https://superdog.yokke.biz/,True,,"-6.7240546,108.4912629",-6.7240546,108.4912629,2026-01-31 13:37:51
27,WARUNK NONGKRONG,WARUNK NONGKRONG,Kafe,Kafe,"4,8",4.8,,"Jl. Ciremai Raya Ruko No.B/06, Kalijaga, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45144",Harjamukti,Kota Cirebon,0817-1777-7786,0817-1777-7786,True,https://instagram.com/warunk_nongkrongcrb/,https://instagram.com/warunk_nongkrongcrb/,True,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:00
28,The Earth Space,The Earth Space,Kafe,Kafe,"4,7",4.7,,"Jl. Brigjend Dharsono No.152, Kedawung, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0813-9541-2481,0813-9541-2481,True,,,False,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:03
29,Hafa Colonial,Hafa Colonial,Kafe,Kafe,"4,5",4.5,,"Jl. Kanggraksan No.24, Harjamukti, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45143",Harjamukti,Kota Cirebon,0813-2467-6105,0813-2467-6105,True,,,False,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:07
30,KEMARE.ID - Latte & Patisserie,KEMARE.ID - Latte & Patisserie,Kafe,Kafe,"4,8",4.8,,"Jl. Kp. Melati No.227, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45134",Kesambi,Kota Cirebon,0878-9646-9275,0878-9646-9275,True,https://linktr.ee/kemare.id,https://linktr.ee/kemare.id,True,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:12
31,Loemen'to Cafe & Resto Cirebon,Loemen'to Cafe & Resto Cirebon,Restoran,Restoran,"4,3",4.3,,"Jl. Prakarsa Muda No.242, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",Kesambi,Kota Cirebon,0857-9754-5141,0857-9754-5141,True,https://instagram.com/loementocaferesto_cirebon?igshid=YmMyMTA2M2Y=,https://instagram.com/loementocaferesto_cirebon?igshid=YmMyMTA2M2Y=,True,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:16
32,About Today Coffee,About Today Coffee,Kedai Kopi,Kedai Kopi,"4,8",4.8,,"6HP6+CV3, Jl. Pamengkang Raya No.14, Pamengkang, Kec. Mundu, Kabupaten Cirebon, Jawa Barat 45173",Mundu,Kabupaten Cirebon,0813-2288-0872,0813-2288-0872,True,,,False,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:20
33,Macarius All Day Brunch & Gelateria,Macarius All Day Brunch & Gelateria,Kafe,Kafe,"4,6",4.6,,"Jl. Pekalangan No.118, Pekalangan, Kec. Pekalipan, Kota Cirebon, Jawa Barat 45118",Pekalipan,Kota Cirebon,0877-1433-0877,0877-1433-0877,True,,,False,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:27
34,Kohitsu Coffee,Kohitsu Coffee,Kedai Kopi,Kedai Kopi,"4,9",4.9,,"Jl. DR. Sudarsono No.274a, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45134",Kesambi,Kota Cirebon,0851-7424-0231,0851-7424-0231,True,https://www.instagram.com/kohitsu.id,https://www.instagram.com/kohitsu.id,True,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:31
35,Feffo Coffee,Feffo Coffee,Kedai Kopi,Kedai Kopi,"4,7",4.7,,"Jl. Gunung Mulya, Gg. Harapan V Jalan Kesambi Dalam No.99, RT.004/RW.05, Drajat, Kota Cirebon, Jawa Barat 45133",Tidak Diketahui,Kota Cirebon,,,False,,,False,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:36
37,Rengganis rumah buku & kopi,Rengganis rumah buku & kopi,Kedai Kopi,Kedai Kopi,"4,8",4.8,,"Jl. Lap. Udara Jl. Penggung Selatan No.30, Kalijaga, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45144",Harjamukti,Kota Cirebon,0812-8805-0802,0812-8805-0802,True,https://instagram.com/rumahrengganis?igshid=4nw6to0dg4tj,https://instagram.com/rumahrengganis?igshid=4nw6to0dg4tj,True,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:44
38,Kopi Teras Bumi,Kopi Teras Bumi,Kedai Kopi,Kedai Kopi,"4,6",4.6,,"Jl. Harapan No.27, Drajat, Kec. Kesambi, Kota Cirebon, Jawa Barat 45133",Kesambi,Kota Cirebon,,,False,,,False,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:48
39,Rammu Café + Resto,Rammu Café + Resto,Kafe,Kafe,"4,3",4.3,,"Jalan Raya Cirebon Kuningan Blok Pahing, RT.12/RW.05, Patapan, Kec. Beber, Kabupaten Cirebon, Jawa Barat 45172",Beber,Kabupaten Cirebon,0821-2776-1957,0821-2776-1957,True,,,False,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:38:55
40,Sabandina Koffie,Sabandina Koffie,Kafe,Kafe,"4,7",4.7,,"Jl. P. Diponegoro No.38, Kesenden, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45121",Kejaksan,Kota Cirebon,0819-3812-3888,0819-3812-3888,True,https://www.instagram.com/sabandina.koffie/,https://www.instagram.com/sabandina.koffie/,True,,"-6.7567745,108.4822484",-6.7567745,108.4822484,2026-01-31 13:39:02
41,Sabandina Koffie,Sabandina Koffie,Kafe,Kafe,"4,7",4.7,,"Blok Dukusetu 1, Blok Desa No.45155, Bodesari, Kec. Plumbon, Kabupaten Cirebon, Jawa Barat 45155",Plumbon,Kabupaten Cirebon,0811-1118-8388,0811-1118-8388,True,https://www.instagram.com/sae.coffeeanddining/,https://www.instagram.com/sae.coffeeanddining/,True,,"-6.7019511,108.4088348",-6.7019511,108.4088348,2026-01-31 13:39:12
42,Baraja Coffee Amphitheater,Baraja Coffee Amphitheater,Kedai Kopi,Kedai Kopi,"4,1",4.1,,"Jl. Tuparev No.60, Kedungjaya, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0851-1708-9827,0851-1708-9827,True,https://www.barajacoffee.com/,https://www.barajacoffee.com/,True,,"-6.7019511,108.4088348",-6.7019511,108.4088348,2026-01-31 13:39:19
43,NANA Riverside Café and Social House,NANA Riverside Café and Social House,Restoran,Restoran,"4,6",4.6,,"Jl. Kalibaru Utara, Kejaksan, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45123",Kejaksan,Kota Cirebon,0818-0846-2600,0818-0846-2600,True,,,False,,"-6.7121418,108.4873542",-6.7121418,108.4873542,2026-01-31 13:39:24
44,Kafe Anti Galau,Kafe Anti Galau,Kedai Kopi,Kedai Kopi,"4,4",4.4,,"Sinarrancang, Kec. Mundu, Kabupaten Cirebon, Jawa Barat",Mundu,Kabupaten Cirebon,0811-2222-3001,0811-2222-3001,True,,,False,,"-6.7993107,108.4922134",-6.7993107,108.4922134,2026-01-31 13:39:28
45,Cave Coffee Cirebon,Cave Coffee Cirebon,Kedai Kopi,Kedai Kopi,"4,8",4.8,,"Goa, Jl. Brigjen Darsono, Sunyaragi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45132",Kesambi,Kota Cirebon,0877-2992-8666,0877-2992-8666,True,,,False,,"-6.7993107,108.4922134",-6.7993107,108.4922134,2026-01-31 13:39:33
46,Urffeine Cafe,Urffeine Cafe,Kedai Kopi,Kedai Kopi,"4,7",4.7,,"Jl. Cendrawasih Jl. Widarasari II No.01, Sutawinangun, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0812-2082-4218,0812-2082-4218,True,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:39:39
47,Urffeine Cafe,Urffeine Cafe,,Cafe/Kedai Kopi,"4,7",4.7,,"Jl. Pangeran Drajat No.47, Drajat, Kec. Kesambi, Kota Cirebon, Jawa Barat 45133",Kesambi,Kota Cirebon,0812-4599-9938,0812-4599-9938,True,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:39:45
48,KRK | Kopi Roemah Kesambi,KRK | Kopi Roemah Kesambi,,Cafe/Kedai Kopi,"4,7",4.7,,"Jl. Kesambi Baru Jl. Mawar No.8A, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45134",Kesambi,Kota Cirebon,0813-2232-0160,0813-2232-0160,True,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:39:50
49,Terajeh Coffee and Steak House,Terajeh Coffee and Steak House,Kedai Kopi,Kedai Kopi,"4,5",4.5,,"Jl. Merdeka No.57, Lemahwungkuk, Kec. Lemahwungkuk, Kota Cirebon, Jawa Barat 45111",Lemahwungkuk,Kota Cirebon,0821-1494-1212,0821-1494-1212,True,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:39:54
51,219 Coffee,219 Coffee,Kedai Kopi,Kedai Kopi,"4,9",4.9,,"Jl. Jenderal Sudirman No.219, Harjamukti, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45143",Harjamukti,Kota Cirebon,0859-6714-1973,0859-6714-1973,True,https://instagram.com/219_coffee?igshid=YmMyMTA2M2Y=,https://instagram.com/219_coffee?igshid=YmMyMTA2M2Y=,True,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:03
52,Babeh House Blend,Babeh House Blend,Kafe,Kafe,"4,6",4.6,,"Jl. Pembangunan Raya No.D.16, Tuk, Kec. Kedawung, Kota Cirebon, Jawa Barat 45131",Kedawung,Kota Cirebon,0813-1506-9450,0813-1506-9450,True,http://instagram.com/babeh.houseblend,http://instagram.com/babeh.houseblend,True,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:07
53,BARAJA COFFEE SILIWANGI,BARAJA COFFEE SILIWANGI,Kedai Kopi,Kedai Kopi,"4,6",4.6,,"Jl. Kedrunan No.11, Kesenden, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45121",Kejaksan,Kota Cirebon,0856-2323-231,0856-2323-231,True,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:12
54,Versus Cafe&Bar,Versus Cafe&Bar,Bar Dengan Pentas Musik,Bar Dengan Pentas Musik,"4,6",4.6,,"Komplek Kagum City, Jl. Tuparev No.28, Kertawinangun, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0811-224-021,0811-224-021,True,https://www.instagram.com/versuscafeandbar/,https://www.instagram.com/versuscafeandbar/,True,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:17
55,,Cafe Tanpa Nama,Kafe,Kafe,"4,6",4.6,,"Jl. Kapten Samadikun No.65, Kesenden, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45124",Kejaksan,Kota Cirebon,0896-5145-9968,0896-5145-9968,True,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:24
56,Har's Coffee Snack Cirebon,Har's Coffee Snack Cirebon,Toko kopi,Toko kopi,"4,9",4.9,,"Jl. Taman Pemuda, Sunyaragi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45132",Kesambi,Kota Cirebon,0813-2421-4295,0813-2421-4295,True,https://linktr.ee/harscirebon,https://linktr.ee/harscirebon,True,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:30
57,"Fore Coffee - Tuparev, Cirebon","Fore Coffee - Tuparev, Cirebon",Kafe,Kafe,"4,5",4.5,,"Jl. Tuparev No.54, Kedungjaya, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0889-7853-5735,0889-7853-5735,True,http://fore.coffee/,http://fore.coffee/,True,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:34
58,Garasi Cafe,Garasi Cafe,Kafe,Kafe,"4,1",4.1,,"Jl. Tuparev No.9, Sutawinangun, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0821-2871-6036,0821-2871-6036,True,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:38
59,Tsurayya Cafe,Tsurayya Cafe,Kedai Kopi,Kedai Kopi,"5,0",5.0,,"7F5V+4VX, Watubelah, Kec. Sumber, Kabupaten Cirebon, Jawa Barat",Sumber,Kabupaten Cirebon,0851-5785-5530,0851-5785-5530,True,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:42
60,Samakamu kopi,Samakamu kopi,Kafe,Kafe,"4,6",4.6,,"Jl. Tuparev No.323, Kedawung, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0896-5477-8712,0896-5477-8712,True,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:47
61,Berkahjaya Bakehouse,Berkahjaya Bakehouse,Toko Roti,Toko Roti,"4,6",4.6,,"Jl. Kisabalanang No.117, Megu Cilik, Kec. Weru, Kabupaten Cirebon, Jawa Barat 45154",Weru,Kabupaten Cirebon,,,False,,,False,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:51
62,Daily Dose Club ( Coffee & Juice Bar ),Daily Dose Club ( Coffee & Juice Bar ),Kedai Kopi,Kedai Kopi,"4,6",4.6,,"Jl. Kesambi Dalam No.100, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat",Kesambi,Kota Cirebon,0851-1778-2589,0851-1778-2589,True,https://dailydoseclub.com/,https://dailydoseclub.com/,True,,"-6.7128614,108.4691137",-6.7128614,108.4691137,2026-01-31 13:40:59
63,Daily Dose Club ( Coffee & Juice Bar ),Daily Dose Club ( Coffee & Juice Bar ),,Cafe/Kedai Kopi,"4,7",4.7,,"Jl. MT Haryono, Cipeujeuh Wetan, Kec. Lemahabang, Kabupaten Cirebon, Jawa Barat 45183",Lemahabang,Kabupaten Cirebon,0813-1342-7900,0813-1342-7900,True,,,False,,"-6.8301968,108.5490377",-6.8301968,108.5490377,2026-01-31 13:41:07
64,Kedai Tenggo,Kedai Tenggo,Kafe,Kafe,"4,6",4.6,,"Jl. Sunyaragi No.1, Sunyaragi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45132",Kesambi,Kota Cirebon,0895-2776-6271,0895-2776-6271,True,http://www.facebook.com/KEDAI.TENGGO,http://www.facebook.com/KEDAI.TENGGO,True,,"-6.7364532,108.4727847",-6.7364532,108.4727847,2026-01-31 13:41:12
65,Mekayo Coffee,Mekayo Coffee,Kedai Kopi,Kedai Kopi,"4,7",4.7,,"Jl. Pemuda Raya No.11a, Sunyaragi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45132",Kesambi,Kota Cirebon,0811-2201-414,0811-2201-414,True,,,False,,"-6.7364532,108.4727847",-6.7364532,108.4727847,2026-01-31 13:41:17
66,Lakiket Coffee & Chick,Lakiket Coffee & Chick,Kafe,Kafe,"4,2",4.2,,"7HG3+8C9, Jl. DR. Sutomo No.183, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",Kesambi,Kota Cirebon,0877-1066-0866,0877-1066-0866,True,,,False,,"-6.7364532,108.4727847",-6.7364532,108.4727847,2026-01-31 13:41:21
67,Coffee By Meraki,Coffee By Meraki,Kedai Kopi,Kedai Kopi,"4,5",4.5,,"Jl. DR. Sutomo No.185, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",Kesambi,Kota Cirebon,0895-4213-18881,0895-4213-18881,True,https://www.facebook.com/profile.php?id=100089211844958&mibextid=ZbWKwL,https://www.facebook.com/profile.php?id=100089211844958&mibextid=ZbWKwL,True,,"-6.7364532,108.4727847",-6.7364532,108.4727847,2026-01-31 13:41:25
68,Pondok Kopi Coffee & Eatery,Pondok Kopi Coffee & Eatery,Kedai Kopi,Kedai Kopi,"4,6",4.6,,"Jl. Arif Rahman Hakim No.14, Sindanglaut, Kec. Lemahabang, Kabupaten Cirebon, Jawa Barat 45183",Lemahabang,Kabupaten Cirebon,0812-1033-9868,0812-1033-9868,True,,,False,,"-6.8345514,108.5441887",-6.8345514,108.5441887,2026-01-31 13:41:29
69,Smiljan Dutchbook,Smiljan Dutchbook,Kafe,Kafe,"4,7",4.7,,"Jl. Ciremai, Kejaksan, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45123",Kejaksan,Kota Cirebon,0817-157-040,0817-157-040,True,,,False,,"-6.7137136,108.4843926",-6.7137136,108.4843926,2026-01-31 13:41:35
70,Fore Coffee - Cirebon Super Block,Fore Coffee - Cirebon Super Block,Kedai Kopi,Kedai Kopi,"4,4",4.4,,"Komp. Chelsea Blue Ruko 9 - 10, Jl. DR. Cipto Mangunkusumo No.26, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",Kesambi,Kota Cirebon,0812-1111-8456,0812-1111-8456,True,http://fore.coffee/,http://fore.coffee/,True,,"-6.7137136,108.4843926",-6.7137136,108.4843926,2026-01-31 13:41:39
71,Cafe Moza,Cafe Moza,Kafe,Kafe,"4,2",4.2,,"Jl. R.Dewi Sartika No.62 A, Sumber, Kec. Sumber, Kabupaten Cirebon, Jawa Barat 45611",Sumber,Kabupaten Cirebon,(0231) 8821909,(0231) 8821909,True,,,False,,"-6.7597399,108.4094167",-6.7597399,108.4094167,2026-01-31 13:41:44
